#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious critical,TotÿCases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
122,Namibia,171156,,4090,,166776,290,,64983,1553,1062663,403460,2633874
123,Uganda,170558,,3630,,100431,66497,3,3522,75,3012408,62198,48432863
124,Jamaica,154416,,3514,,102529,48373,,51729,1177,1183986,396633,2985094
125,Cambodia,138720,,3056,,135661,3,,8080,178,3091420,180062,17168639
126,Rwanda,133194,,1468,,131647,79,,9793,108,6021981,442778,13600464
127,Cameroon,124605,,1966,,122434,205,13,4464,70,1751774,62762,27911548
128,Malta,117610,,828,,116117,665,4,264868,1865,2119315,4772877,444033
129,Barbados,106798,,579,,106211,8,,370797,2010,794426,2758203,288023
130,Angola,105288,,1933,,103342,13,,3006,55,1499795,42818,35027343
131,Channel Islands,101449,,227,,101091,131,,574902,1286,1252808,7099551,176463
132,French Guiana,98041,,420,,11254,86367,6,312065,1337,651257,2072951,314169
133,DRC,95815,,1464,,84379,9972,,1006,15,846704,8890,95240792
134,Senegal,88926,,1971,,86947,8,,5037,112,1146543,64946,17653671
135,Malawi,88707,,2686,,85583,438,67,4396,133,624784,30959,20180839
136,Ivory Coast,88277,,834,,87422,21,,3182,30,1682212,60637,27742298
137,Suriname,82467,,1404,,N/A,N/A,,138175,2352,241357,404398,596831
138,New Caledonia,79881,,314,,79558,9,9,274585,1079,98964,340182,290915
139,French Polynesia,78055,,649,,N/A,N/A,7,274683,2284,,,284164
140,Eswatini,74323,,1425,,72824,74,,62730,1203,1048704,885119,1184817
